bank,district,state,blood_group,short_units
Ghsis Gosha Blood Centre,Bangalore Urban,Karnataka,A-,7
Swamy Vivekananda Charitable Blood Centre H.B.Halli (Vijay Nagar Dist.),Ballari,Karnataka,A-,7
TRINITY VOLUNTATY BLOOD CENTRE,Chikmagalur,Karnataka,A-,7
Navajeevan,Kalaburagi,Karnataka,A-,6
A.J.Hsopital And Research Centre,Dakshina Kannada,Karnataka,A-,6
Red Cross Sanjeevini Blood Bank,Shimoga,Karnataka,A-,5
Jeevasanjeevini Blood Center,Hassan,Karnataka,A-,7
"K C General Hospital Blood Centre, Bangalore",Bangalore Urban,Karnataka,A-,7
Athani Blood Centre Athani,Belagavi,Karnataka,A-,7
"District Hospital Blood Centre, Madikeri Kodagu",Kodagu,Karnataka,A-,3
Dr V P Kanakaraddi Memorial Blood Centre,Bagalkot,Karnataka,A-,7
"Sagar Blood Bank, Sagar HospitalS, (Unit Of Sagr Health Care And Diagnostic Services Pvt. Ltd.)",Bangalore Urban,Karnataka,A-,3
Apollo Hospitals A Unit Of Imperial Cancer Hospital And Research Centre Limited,Bangalore Urban,Karnataka,A-,4
Bangalore Blood Centre And Diagnostic Laboratory,Bangalore Urban,Karnataka,A-,7
"Kidwai Memorial Institute Of Oncology Blood Centre, Bangalore",Bangalore Urban,Karnataka,A-,6
Anjanadri Blood Centre,Koppal,Karnataka,A-,6
M S RAMAIAH MEDICAL TEACHING HOSPITAL BLOOD BANK,Bangalore Urban,Karnataka,A-,4
Siddagangasree Voluntary Blood Centre And Components,Davanagere,Karnataka,A-,7
Cims Blood Center,Chamarajanagar,Karnataka,A-,7
SAHYADRI NARAYANA MULTISPECIALITY HOSPITAL BLOOD BANK,Shimoga,Karnataka,A-,7
City Hospital Research And Diagnostic Centre Bsu,Dakshina Kannada,Karnataka,A-,7
Malabar Institute Of Medical Sciences,Kozhikode,Kerala,A-,6
Christian Mission Hospital Pandalam,Pathanamthitta,Kerala,A-,6
"Indo American Hospital, Brainandspine Centre",Kottayam,Kerala,A-,6
Aster Pmf,Kollam,Kerala,A-,7
Dhanya Mission Hospital Potta,Thrissur,Kerala,A-,7
Mary Queens Mission Hospital,Kottayam,Kerala,A-,7
Caritas Hospital Blood Bank,Kottayam,Kerala,A-,5
"District Hospital, Manathavady",Wayanad,Kerala,A-,6
Emc Hospital,Malappuram,Kerala,A-,6
Kims Al Shifa  Blood Centre,Malappuram,Kerala,A-,5
Adlux Medicity And Convention Centre Pvt Ltd.,Ernakulam,Kerala,A-,7
Malabar Institute Of Medical Sciences Ltd,Malappuram,Kerala,A-,7
Nirmala Medical Center,Ernakulam,Kerala,A-,7
Sacred Heart Mission Hospital,Thrissur,Kerala,A-,6
General Hospital Blood Centre Thrissur,Thrissur,Kerala,A-,4
"Welcare Hospital Blood Centre, Vyttila",Ernakulam,Kerala,A-,7
"Dr Somervell Memorial Csi Medical College And Hospital, Karakonam",Thiruvananthapuram,Kerala,A-,5
Holy Family Hospital,Idukki,Kerala,A-,4
"M.M.T.Hospital, (Mundakkayam Medical Trust Hospital)",Idukki,Kerala,A-,7
Mar Baselius Medical Mission Hospital,Ernakulam,Kerala,A-,7
Sree Uthradom Thirunal Hospital,Thiruvananthapuram,Kerala,A-,7
District Hospital Kollam,Kollam,Kerala,A-,3
Govt Taluk Head Quarters Hospital Punalur,Kollam,Kerala,A-,7
Bharath Charitable Hospital Society,Kottayam,Kerala,A-,6
Mother Care Hospital Blood Centre,Palakkad,Kerala,A-,7
Indira Gandhi Cooperative Hospital,Kannur,Kerala,A-,6
Kozhikode District Co - Operative Hospital,Kozhikode,Kerala,A-,6
Nirmala Hospital,Kozhikode,Kerala,A-,6
Nadakkavil Hospital,Malappuram,Kerala,A-,4
Neyyar Medicity Blood Centre,Thiruvananthapuram,Kerala,A-,6
Cosmopolitan Hospitals Pvt Ltd,Thiruvananthapuram,Kerala,A-,6
Mvr Cancer Centre And Research Institute,Kozhikode,Kerala,A-,7
Taluk Headquarters Hospital Chirayinkeezhu,Thiruvananthapuram,Kerala,A-,6
National Hospital Blood Centre,Kozhikode,Kerala,A-,7
Metromed International Cardiac Centre,Kozhikode,Kerala,A-,5
Ima Blood Bank Society Thodupuzha,Idukki,Kerala,A-,5
Amala Institute Of Medical Science,Thrissur,Kerala,A-,7
Korambayil Blood Bank,Malappuram,Kerala,A-,6
Blood Centre Ms  St James Hospital Chalakudy,Thrissur,Kerala,A-,3
G G Blood Centre,Thiruvananthapuram,Kerala,A-,5
District Hospital Tirur,Malappuram,Kerala,A-,6
Malabar Institute Of Medical Sciences Blood Bank,Malappuram,Kerala,A-,6
Dr Moopens Medical College,Wayanad,Kerala,A-,6
General Hospital Kasaragod,Kasaragod,Kerala,A-,1
Gimcare Hospital Blood Centre,Kannur,Kerala,A-,4
Sree Narayana Institute Of Medical Sciences,Ernakulam,Kerala,A-,3
"Blood Centre General Hospital, Pathanamthitta",Pathanamthitta,Kerala,A-,4
Baby Memorial Hospital,Kozhikode,Kerala,A-,6
Mount Zion Medical College Hospital,Pathanamthitta,Kerala,A-,7
Taluk Headquarters Hospital Sulthan Bathery,Wayanad,Kerala,A-,5
Mes Blood Centre,Malappuram,Kerala,A-,3
"Blood Centre District Hospital, Kanhangad",Kasaragod,Kerala,A-,5
Mmc Hospital Blood Bank Modakkalur,Kozhikode,Kerala,A-,4
Azeezia Hospital,Palakkad,Kerala,A-,7
Dr.Km Cherian Institute Of Medical Sciences,Alappuzha,Kerala,A-,1
Almas Hospital Blood Bank,Malappuram,Kerala,A-,7
Ns Memorial Institute Of Health Science Blood Centre,Kollam,Kerala,A-,7
"Mar Sleeva Medicity Blood Bank,Palai",Kottayam,Kerala,A-,4
Indira Gandhi Co Operative Hospital,Ernakulam,Kerala,A-,4
Jubilee Memorial Hospital Blood Centre,Thiruvananthapuram,Kerala,A-,7
Kimsat Hospital,Kollam,Kerala,A-,6
District Hospital Kannur Blood Centre,Kannur,Kerala,A-,4
Velankanni Matha Hospital Blood Bank,Kottayam,Kerala,A-,5
Kerala Institute Of Medical Sciences,Thiruvananthapuram,Kerala,A-,5
General Hospital Thalassery,Kannur,Kerala,A-,5
Chazhikattu Hospital Blood Bank,Idukki,Kerala,A-,6
Vijaya Hospital,Kollam,Kerala,A-,7
Sonam Nurboo Memorial SNM Hospital Blood Bank,Leh(Ladakh),Ladakh,A-,7
Indian Red Cross Society Blood Bank  Dabra,Gwalior,Madhya Pradesh,A-,7
Navodaya Blood Centre,Bhopal,Madhya Pradesh,A-,7
"State of the Art Model Blood Bank, M.Y. Hospital",Indore,Madhya Pradesh,A-,7
"District Hospital, Shahdol",Shahdol,Madhya Pradesh,A-,7
"Bansal Blood Centre And Transfusion Service, Jabalpur",Jabalpur,Madhya Pradesh,A-,7
"Choitram Hospital And Research Centre, Indore",Indore,Madhya Pradesh,A-,6
Amaltas Institute Of Medical Sciences Dewas,Dewas,Madhya Pradesh,A-,6
Life Saver Blood Centre,Sehore,Madhya Pradesh,A-,7
Ms Shri Dada Darbar Blood Centre,Khargone (West Nimar),Madhya Pradesh,A-,7
"District Hospital, Ratlam",Ratlam,Madhya Pradesh,A-,7
"Bombay Hospital Trust, Indore",Indore,Madhya Pradesh,A-,4
"District Hospital, Bhopal J P Tulsi Nagar, Bhopal",Bhopal,Madhya Pradesh,A-,7
Mgu Hospital Blood Centre,Sehore,Madhya Pradesh,A-,5
"District Hospital, Dewas",Dewas,Madhya Pradesh,A-,6
"District Hospital, Mandsaur",Mandsaur,Madhya Pradesh,A-,4
"District Hospital, Satna",Satna,Madhya Pradesh,A-,6
"District Hospital, Hoshangabad",Narmadapuram,Madhya Pradesh,A-,5
Shiva Charitable Blood Centre,Guna,Madhya Pradesh,A-,7
"District Hospital,Chhatarpur",Chhatarpur,Madhya Pradesh,A-,5
Sanjeevni Blood Centre,Burhanpur,Madhya Pradesh,A-,6
"Civil Hospital Indira Gandhi Mahila Evam Balya Chikitsalaya, Bhopal",Bhopal,Madhya Pradesh,A-,7
"District Hospital, Khandwa",Khandwa (East Nimar),Madhya Pradesh,A-,6
"District Hospital, Anuppur",Anuppur,Madhya Pradesh,A-,6
"District Hospital, Ashoknagar",Ashoknagar,Madhya Pradesh,A-,7
"District Hospital, Sehore",Sehore,Madhya Pradesh,A-,7
"Cancer Hospital And Research Centre, Gwalior",Gwalior,Madhya Pradesh,A-,7
"District Hospital, Shajapur",Shajapur,Madhya Pradesh,A-,3
"District Hospital, Burhanpur",Burhanpur,Madhya Pradesh,A-,7
"District Hospital, Narsinghpur",Narsimhapur,Madhya Pradesh,A-,3
"District Hospital, Umaria",Umaria,Madhya Pradesh,A-,6
"District Hospital, Sheopur",Sheopur,Madhya Pradesh,A-,7
"Jawahar Lal Nehru Cancer Hospital And Research Centre, Bhopal",Bhopal,Madhya Pradesh,A-,6
"Medical College Nscb Medical College, Jabalpur",Jabalpur,Madhya Pradesh,A-,3
"Jabalpur Blood Centre And Pathology Lab, Jabalpur",Jabalpur,Madhya Pradesh,A-,6
Medical College Abvgmc Vidisha,Vidisha,Madhya Pradesh,A-,6
Akshat Blood Centre,Dhar,Madhya Pradesh,A-,6
"District Hospital, Katni",Katni,Madhya Pradesh,A-,6
Chaitanya Blood With Component Separation,Sagar,Madhya Pradesh,A-,6
Bcm Kokilaben Dhirubhai Ambani Hospital (Unit Of Mandke Foundation) Blood Centre,Indore,Madhya Pradesh,A-,7
"District Hospital, Barwani",Barwani,Madhya Pradesh,A-,7
"Chl  Blood Centre, Indore",Indore,Madhya Pradesh,A-,6
"Manav Seva Samiti, Ratlam",Ratlam,Madhya Pradesh,A-,7
Jupiter Hospital Projects Pvt. Ltd. Blood Centre,Indore,Madhya Pradesh,A-,4
"District Hospital, Vidisha",Vidisha,Madhya Pradesh,A-,6
All Is Well Blood Centre,Burhanpur,Madhya Pradesh,A-,7
"District Hospital, Morena",Morena,Madhya Pradesh,A-,3
"District Hospital, Khargone",Khargone (West Nimar),Madhya Pradesh,A-,2
Venus Blood Centre,Shahdol,Madhya Pradesh,A-,7
"Modern Blood Centre, Mhow",Indore,Madhya Pradesh,A-,7
Parth Blood Centre Component Separation Unit And Apheresis Centre Gwalior,Gwalior,Madhya Pradesh,A-,6
"District Hospital, Balaghant",Balaghat,Madhya Pradesh,A-,6
Care Blood Centre,Jabalpur,Madhya Pradesh,A-,7
District Hospital ujjain,Ujjain,Madhya Pradesh,A-,3
"District Hospital, Neemach",Neemuch,Madhya Pradesh,A-,6
"District Hospital, Bhind",Bhind,Madhya Pradesh,A-,4
"District Hospital, Panna",Panna,Madhya Pradesh,A-,5
Lahoti Medicare Blood Centre Indore,Indore,Madhya Pradesh,A-,6
Bhagyoday Tirth Hospital Blood Centre,Sagar,Madhya Pradesh,A-,6
"Indian Red Cross Blood Bank, Singrauli",Singrauli,Madhya Pradesh,A-,6
"Suyash Blood Centre, Indore",Indore,Madhya Pradesh,A-,3
"Puspha Mission Hospital And Maternity Hospital Blood Centre, Ujjain",Ujjain,Madhya Pradesh,A-,4
"District Hospital, Rajgarh",Rajgarh,Madhya Pradesh,A-,6
"District Hospital, Betul",Betul,Madhya Pradesh,A-,7
Sn Krishna Blood Centre,Ujjain,Madhya Pradesh,A-,7
"District Hospital, Burhanpur",Burhanpur,Madhya Pradesh,A-,7
Gandhi Medical College.,Bhopal,Madhya Pradesh,A-,6
Guru Gautam Muni Blood Centre,Mandsaur,Madhya Pradesh,A-,5
"District Hospital, Tikamgarh",Tikamgarh,Madhya Pradesh,A-,7
Sanjeevani Blood Centre,Ahmadnagar,Maharashtra,A-,7
"Shri Balyogi Shikshan Prasarak Mandal Charitable Trust, Sai Jeewan Blood Centre",Akola,Maharashtra,A-,6
Central India Institute Of Haematology And OncologyS Blood And Blood Component Bank And Apheresis U,Nagpur,Maharashtra,A-,6
Shri Sai Seva Medical Foundation Sanchalit Nirnay Janseva Blood Centre,Dhule,Maharashtra,A-,7
"Indian Red Cross Society Blood Centre, Shriman Rambhai Shah Blood Centre",Solapur,Maharashtra,A-,2
Kokilaben Dhirubhai Ambani Blood Centre,Mumbai,Maharashtra,A-,1
Lifeline Blood Centre Nagpur,Nagpur,Maharashtra,A-,6
"Kasturba Health SocietyS, Blood Centre, Sevagram(Mgims)",Wardha,Maharashtra,A-,7
Lokamanya Tssia  Blood Centre,Thane,Maharashtra,A-,1
Jeevan Jyoti Blood Centre,Dhule,Maharashtra,A-,7
Raigad Hospital Blood Centre Of Saraswati Education Society,Raigarh,Maharashtra,A-,6
Rainbow Blood Centre,Nagpur,Maharashtra,A-,6
"Azad Panchi Groups, M/S Siddheshwar Blood Centre, Solapur",Solapur,Maharashtra,A-,6
M/S Beed Blood Centre,Bid,Maharashtra,A-,5
Jawaharlal Nehru Medical College Blood Centre,Wardha,Maharashtra,A-,2
"Shree Swami  Samartha Vaidyakiya  Shaikshanik And Sanshodhan Sanstha, Late  Shri Mukeshbai Patel Blo",Dhule,Maharashtra,A-,4
"Mahatma Gandhi Blood Centre,  Operated By Task",Thane,Maharashtra,A-,6
"Bhartiya Sanskruti Shikshan Prasarak Mandal, Sangola sanchlit,Sangola Blood Centre,Sangola,Solapur",Solapur,Maharashtra,A-,6
"Shri.Swami Samarth Blood Centre, Pandharpur, Solapur",Solapur,Maharashtra,A-,3
"Blood Centre, Govt.Medical College, General Hospital Latur",Latur,Maharashtra,A-,7
"Krishna Hospital And Medical Research Centre, Blood Centre",Satara,Maharashtra,A-,6
Autus Blood Centre,Pune,Maharashtra,A-,6
Smt. Anila Kantilal Kothari Blood Centre And Dept. Of Hemato Oncology,Sangli,Maharashtra,A-,6
Navjeevan Blood Centre Mangaed By Spvf,Thane,Maharashtra,A-,6
Civil Hospital Washim,Washim,Maharashtra,A-,6
Vasantdada Patil Blood Centre And Haematology Research Centre,Sangli,Maharashtra,A-,7
Dattaji Bhale Blood Centre,Aurangabad,Maharashtra,A-,6
Spandan Blood Centre Yavatmal,Yavatmal,Maharashtra,A-,7
Kurduwadi Blood Centre,Solapur,Maharashtra,A-,2
"Jeevandai Blood Centre, Components And Apheresis Centre Beed",Bid,Maharashtra,A-,5
Kem Hospital Blood Centre,Pune,Maharashtra,A-,4
Spandan Blood Centre,Pune,Maharashtra,A-,7
"Shri Manoharpant Sapate Bahuuddeshiya Samajseva Sansthan TrustS, M/S. Medicare Blood Centre",Solapur,Maharashtra,A-,7
Medicare Blood Centre,Yavatmal,Maharashtra,A-,3
Gadchiroli Blood Centre,Gadchiroli,Maharashtra,A-,7
"Padmashri Dr. Vitthalrao Vikhe Patil Foundation Ahmednagar Medical College Hospital, Blood Bank",Ahmadnagar,Maharashtra,A-,7
Aai Bahuuddeshiya Sevabhavi Sanstha Shourya Blood Centre Yavatmal,Yavatmal,Maharashtra,A-,5
Mahatma Basaveshwar Blood Centre,Solapur,Maharashtra,A-,7
"Medical Supritentent Sub-District (Rural) Hospital Blood Centre, Gadchiroli Aheri",Gadchiroli,Maharashtra,A-,7
Vidyashree Charitable Trust Shiv Shambho Blood Centre,Solapur,Maharashtra,A-,2
"Government Medical College And General Hospital Blood Centre, Baramati, District  Pune",Pune,Maharashtra,A-,5
"District - Civil Surgeon,  General Hospital Blood Centre Wardha",Wardha,Maharashtra,A-,6
"Maharashtra Blood Centre, Waluj Midc, Dist. Chh. Sambhaji Nagar (Aurangabad)",Aurangabad,Maharashtra,A-,6
Phaltan Medical FoundationS Blood Centre,Satara,Maharashtra,A-,4
Muktai Blood Centre Of Shivpooja Bahuudeshiya Shikhan Prasarak Mandal Solapur,Pune,Maharashtra,A-,6
M/S. Jai Mata Di Bahuddeshiya SansthaS Melghat Blood Centre,Amravati,Maharashtra,A-,3
"Shri Sai Seva Medical Foundation Sanchalit, Sanjeevani Blood Centre",Nashik,Maharashtra,A-,7
"Sadguru Gajanan Maharaj Education Society,  Paramedical Inst., Revneel Blood Centre",Solapur,Maharashtra,A-,6
"Matoshri Valbai Mulji Shah, Arpan Blood Centre",Mumbai,Maharashtra,A-,5
"Hinjewadi Blood Centre, Hinjewadi, Tal. Mulshi, Dist. Pune",Pune,Maharashtra,A-,7
"Laksh Foundation, Lifeline Blood Centre, Nashik",Nashik,Maharashtra,A-,7
Sanjivan   Blood Centre,Chandrapur,Maharashtra,A-,7
Civil Hospital Blood Centre,Jalgaon,Maharashtra,A-,7
"Akshay Blood Centre, Miraj",Sangli,Maharashtra,A-,7
"Mauli Blood Centre, Latur",Latur,Maharashtra,A-,7
"L.T.M.G., Municipal Hospital Blood Centre",Mumbai,Maharashtra,A-,5
Mgm Medical College And Hospital Blood Centre,Aurangabad,Maharashtra,A-,6
Shwas Foundation Kavatemahankal (Trust) Sanchlit Purandar Blood Centre (Trust),Pune,Maharashtra,A-,6
"Shwas Foundation Poona Blood Centre, Narayangaon, Tal- Junnar, Dist. Pune",Pune,Maharashtra,A-,7
Lokmanya Blood Centre,Aurangabad,Maharashtra,A-,6
"Dean, Govt. Medical College Hospital Blood Centre Aurangabad",Aurangabad,Maharashtra,A-,6
Jupiter Lifeline Hospital Blood Centre,Pune,Maharashtra,A-,6
"Medical Superitendant, Government Hospital Blood Centre(Khamgaon)",Buldana,Maharashtra,A-,7
"Azad Panchi Groups Sanchalit, Janseva Blood Centre, Hinjewadi Phase-1, Pune",Pune,Maharashtra,A-,7
"Ayush Blood Centre, Vaduj, Tal. Khatav, Dist. Satara",Satara,Maharashtra,A-,6
"Govt. Medical College Blood Centre, Nagpur",Nagpur,Maharashtra,A-,1
"Shaurya Blood Centre,Blood Components and Apheresis, Chandrapur",Chandrapur,Maharashtra,A-,6
"Arpan Blood Centre, Blood Component And Apheresis Centre Kolhapur",Kolhapur,Maharashtra,A-,7
"Mahatma Gandhi Hospital Blood Centre, New Pargaon",Kolhapur,Maharashtra,A-,7
Blood Centre Shri Vasantrao Naik  Govt. Medical College And Hospital,Yavatmal,Maharashtra,A-,7
Noor Hospital Blood Centre,Jalna,Maharashtra,A-,7
Jankalyan Raktapedhi Pune,Pune,Maharashtra,A-,5
"Blood Center Government Medical College And Hospital, Osmanabad",Osmanabad,Maharashtra,A-,7
Ved Medical Foundation Pune Vita Blood Centre,Sangli,Maharashtra,A-,6
Mimer Medical College And Garware Blood Centre,Pune,Maharashtra,A-,6
M/S . Ideal Foundations Ideal Blood Centre,Palghar,Maharashtra,A-,7
Chakan Blood Centre,Pune,Maharashtra,A-,3
Akshay Blood Centre,Solapur,Maharashtra,A-,7
"Navjeevan Blood Centre, Kankawali, Sindhudurga",Sindhudurg,Maharashtra,A-,6
Arpan Blood Centre Blood Component And Apheresis Centre,Latur,Maharashtra,A-,3
Shaswat Blood Centre Sangli,Sangli,Maharashtra,A-,7
M/S. Freedom Foundation Sanchlit Lifeline Blood Centre,Pune,Maharashtra,A-,5
Konkan Mitra Mandal Medical TrustS Sahyadri Speaciality Hospital Blood Centre,Pune,Maharashtra,A-,3
"Dr. D.Y. Patil Medical College Hospital And Research Centre Blood Centre, Pimpri, Pune.",Pune,Maharashtra,A-,3
Goodwill Social ClubS Amruta Blood Centre,Aurangabad,Maharashtra,A-,7
"Dr. P.D.M.H.C. Hospital And Research Centre, Blood Centre",Amravati,Maharashtra,A-,6
"Azad Panchi Groups, Miraj Serological Institute Blood Centre",Sangli,Maharashtra,A-,4
K.J.Somaiya Medical College And Hospital Blood Centre,Mumbai,Maharashtra,A-,7
Raigad Blood Centre Pen Tal Pen Dis Raigarh,Raigarh,Maharashtra,A-,6
Jalna Blood Centre Components And Apheresis Centre,Jalna,Maharashtra,A-,7
Keshavsmruti Pratishthan Sanchalit Madhavrao Golwalkar Swayamsevi Raktpedhi,Jalgaon,Maharashtra,A-,7
Red Plus Blood Centre Pune,Pune,Maharashtra,A-,2
"Mahalaxmi Blood Centre, Kagal,Kolhapur",Kolhapur,Maharashtra,A-,4
Swami Vivekanand Blood Centre,Nanded,Maharashtra,A-,7
Pimpri Chinchwad  Municipal CorporationS Y.C.M. Hospital Blood Centre,Pune,Maharashtra,A-,4
Pandharpur Blood Centre,Solapur,Maharashtra,A-,6
"Hindratna Prakashbapu Patil Blood Centre, Sangli",Sangli,Maharashtra,A-,7
"Indian Red Cross Society , Sarjubai, Bansila Bajaj Blood Centre",Solapur,Maharashtra,A-,7
"Late Balasaheb Datye, Lions Blood Centre, Ichalkaranji",Kolhapur,Maharashtra,A-,7
M/S Aman Blood Centre Gandhibag Nagpur,Nagpur,Maharashtra,A-,6
"Padma Bhushan Vasantdada Patil (Civil Surgeon), Govt. General Hospital Blood Centre, Sangli",Sangli,Maharashtra,A-,7
"Civil Surgeon, General Hospital, Blood Centre",Ahmadnagar,Maharashtra,A-,7
Vijayee Blood Centre Vasai (W),Palghar,Maharashtra,A-,6
Rotary Blood Centre,Pune,Maharashtra,A-,7
"Deenanath Mangeshkar Hospital, Blood Centre",Pune,Maharashtra,A-,6
Jankalyan Blood Centre,Ahmadnagar,Maharashtra,A-,5
"Balaji Blood Centre, Lonand, Khandala Taluk, Dist. Satara",Satara,Maharashtra,A-,7
"Shri Dhaneshwari Manav Vikas Mandals, Shantai Blood Centre, Pedgaon, Dist. Parbhani",Parbhani,Maharashtra,A-,6
M/S. Sri. Bhagwant Blood Centre,Solapur,Maharashtra,A-,4
Shrikrishna Blood Center,Osmanabad,Maharashtra,A-,1
Shree Swami Samarth Blood Centre,Ratnagiri,Maharashtra,A-,4
Jagiivan Ram Hospital (Western Railway) Blood Centre,Mumbai,Maharashtra,A-,6
Samarpit Bahuddeshiya Sevabhavi Sanshta Tarpan Blood Centre,Pune,Maharashtra,A-,2
Samarpan Blood Centre,Mumbai,Maharashtra,A-,5
Samarpan Blood Centre,Bhandara,Maharashtra,A-,7
"Abhinav Sikshan MandalS,  Sanjeevan Blood Centre",Kolhapur,Maharashtra,A-,7
Sanjeevani Blood Centre Bhosari,Pune,Maharashtra,A-,7
"Sai Seva Medical Foundation, Vaibhavlaxmi Blood Centre",Kolhapur,Maharashtra,A-,5
Dr. D.Y Patil Hospital Blood Centre,Kolhapur,Maharashtra,A-,7
"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",Mumbai,Maharashtra,A-,7
"Civil Surgeon, District General Hospital Blood Centre",Parbhani,Maharashtra,A-,4
"Varad Charitable And Medical Trust, Balaji Blood Centre, Satara",Satara,Maharashtra,A-,7
Sahyaadrie Blood Centre Osmanabad,Osmanabad,Maharashtra,A-,3
Golwalkari Guruji Blood Centre,Nanded,Maharashtra,A-,2
Chhatrapati Shivaji Maharaj Hospital Blood Centre Csm,Thane,Maharashtra,A-,7
Sant Jagnnath Maharaj Anjalekar Bahuuudeshiya Sansthas Sanjivani Blood Centre,Jalgaon,Maharashtra,A-,7
"Late. Dr. G.M. Bhavsar Charitable TrustS,Malegaon Blood Centre",Nashik,Maharashtra,A-,3
"Blood Bank Civil Hospital, Bhandara",Bhandara,Maharashtra,A-,7
Noble Charitable TrustS Noble Blood Centre,Pune,Maharashtra,A-,6
Rotary D.G Goenka Blood Centre( Municipal Gen. Hospital),Mumbai,Maharashtra,A-,6
"Central Hospital Blood Centre, Ulhasnagar, Thane",Thane,Maharashtra,A-,7
"Civil Surgeon, District General Hospital Blood Centre & Blood Component Unit Hingoli",Hingoli,Maharashtra,A-,6
Daga Memorial Women Govt. Hospital Blood Centre Nagpr,Nagpur,Maharashtra,A-,7
Borivali Blood Centre (Doshi Memorial Charitable Trust),Mumbai,Maharashtra,A-,7
M/S. Global Hospital-Super Speciality Andtransplant Centre,Mumbai,Maharashtra,A-,7
"Sushilaben R. Mehta And Sir. Kikabai Cardiac Institute, Blood Centre",Mumbai,Maharashtra,A-,6
"Civil Hospital Palghar Blood Centre, Palghar",Palghar,Maharashtra,A-,7
Jehangir Hospital Blood Centre,Pune,Maharashtra,A-,6
Advanced Centre For Treatment Reasearch And Education In Cancer,Raigarh,Maharashtra,A-,7
Bai Gangabai Ladies Hospital Blood Centre Gondiya,Gondiya,Maharashtra,A-,7
Prakash Blood Centre And Blood Component Seperation Unit,Sangli,Maharashtra,A-,7
"Indian Red Cross Society Blood Centre, Nanded",Nanded,Maharashtra,A-,6
"Majalgaon Blood Centre, Blood Component And Apheresis Centre, Majalgaon",Bid,Maharashtra,A-,7
"Mgm Blood Centre , Kamothe",Raigarh,Maharashtra,A-,6
"Welfare And Educational Trust Of Nmrcw, Chemist Blood Centre",Thane,Maharashtra,A-,7
"Jankalyan Blood Centre, Nashik",Nashik,Maharashtra,A-,3
Nh Srcc ChildrenS Hospital Blood Centre,Mumbai,Maharashtra,A-,3
Mallikarjun Blood Centre,Solapur,Maharashtra,A-,3
Aiims Nagpur Blood Center,Nagpur,Maharashtra,A-,2
"Civil Surgeon, General Hospital Blood Centre, Gadchiroli",Gadchiroli,Maharashtra,A-,5
